Date,Price
31/01/2022,4779
30/01/2022,4760
29/01/2022,4760
28/01/2022,4761
27/01/2022,4819
26/01/2022,4886
25/01/2022,4885
24/01/2022,4843
23/01/2022,4825
22/01/2022,4825
21/01/2022,4844
20/01/2022,4851
19/01/2022,4812
18/01/2022,4799
17/01/2022,4790
16/01/2022,4780
15/01/2022,4780
14/01/2022,4789
13/01/2022,4773
12/1/2022,4780
11/1/2022,4755
10/1/2022,4743
9/1/2022,4748
8/1/2022,4748
7/1/2022,4742
6/1/2022,4756
5/1/2022,4815
4/1/2022,4785
3/1/2022,4789
2/1/2022,4809
1/1/2022,4809
28/02/2022,5107
27/02/2022,5022
26/02/2022,5022
25/02/2022,5032
24/02/2022,5167
23/02/2022,5021
22/02/2022,5026
21/02/2022,5006
20/02/2022,5012
19/02/2022,5012
18/02/2022,5010
17/02/2022,5022
16/02/2022,4952
15/02/2022,4939
14/02/2022,4979
13/02/2022,4910
12/2/2022,4910
11/2/2022,4886
10/2/2022,4884
9/2/2022,4855
8/2/2022,4833
7/2/2022,4811
6/2/2022,4793
5/2/2022,4793
4/2/2022,4770
3/2/2022,4775
2/2/2022,4770
1/2/2022,4805
31/03/2022,5147
30/03/2022,5111
29/03/2022,5072
28/03/2022,5158
27/03/2022,5185
26/03/2022,5185
25/03/2022,5186
24/03/2022,5206
23/03/2022,5168
22/03/2022,5123
21/03/2022,5172
20/03/2022,5148
19/03/2022,5148
18/03/2022,5163
17/03/2022,5178
16/03/2022,5124
15/03/2022,5143
14/03/2022,5224
13/03/2022,5286
12/3/2022,5286
11/3/2022,5255
10/3/2022,5337
9/3/2022,5287
8/3/2022,5446
7/3/2022,5334
6/3/2022,5256
5/3/2022,5256
4/3/2022,5235
3/3/2022,5167
2/3/2022,5153
1/3/2022,5140
30/04/2022,5177
29/04/2022,5178
28/04/2022,5120
27/04/2022,5123
26/04/2022,5171
25/04/2022,5148
24/04/2022,5226
23/04/2022,5226
22/04/2022,5227
21/04/2022,5236
20/04/2022,5260
19/04/2022,5277
18/04/2022,5336
17/04/2022,5299
16/04/2022,5299
15/04/2022,5299
14/04/2022,5304
13/04/2022,5309
12/4/2022,5292
11/4/2022,5232
10/4/2022,5209
9/4/2022,5209
8/4/2022,5211
7/4/2022,5195
6/4/2022,5167
5/4/2022,5140
4/4/2022,5131
3/4/2022,5144
2/4/2022,5144
1/4/2022,5134
31/05/2022,5085
30/05/2022,5105
29/05/2022,5092
28/05/2022,5092
27/05/2022,5101
26/05/2022,5082
25/05/2022,5087
24/05/2022,5116
23/05/2022,5097
22/05/2022,5084
21/05/2022,5084
20/05/2022,5070
19/05/2022,5066
18/05/2022,5012
17/05/2022,5024
16/05/2022,5018
15/05/2022,4989
14/05/2022,4989
13/05/2022,4997
12/5/2022,5053
11/5/2022,5071
10/5/2022,5065
9/5/2022,5110
8/5/2022,5134
7/5/2022,5134
6/5/2022,5139
5/5/2022,5105
4/5/2022,5058
3/5/2022,5099
2/5/2022,5063
1/5/2022,5177
30/06/2022,5050
29/06/2022,5072
28/06/2022,5085
27/06/2022,5072
26/06/2022,5062
25/06/2022,5062
24/06/2022,5062
23/06/2022,5091
22/06/2022,5091
21/06/2022,5085
20/06/2022,5075
19/06/2022,5083
18/06/2022,5083
17/06/2022,5093
16/06/2022,5059
15/06/2022,5049
14/06/2022,5026
13/06/2022,5074
12/6/2022,5168
11/6/2022,5168
10/6/2022,5120
9/6/2022,5088
8/6/2022,5105
7/6/2022,5096
6/6/2022,5090
5/6/2022,5100
4/6/2022,5131
3/6/2022,5131
2/6/2022,5079
1/6/2022,5060
31/07/2022,5143
30/07/2022,5143
29/07/2022,5131
28/07/2022,5132
27/07/2022,5062
26/07/2022,5053
25/07/2022,5045
24/07/2022,5068
23/07/2022,5068
22/07/2022,5078
21/07/2022,5027
20/07/2022,5039
19/07/2022,5031
18/07/2022,5044
17/07/2022,5011
16/07/2022,5011
15/07/2022,4999
14/07/2022,5027
13/07/2022,5076
12/7/2022,5054
11/7/2022,5079
10/7/2022,5084
9/7/2022,5084
8/7/2022,5095
7/7/2022,5067
6/7/2022,5089
5/7/2022,5152
4/7/2022,5214
3/7/2022,5191
2/7/2022,5191
1/7/2022,5179
31/08/2022,5061
30/08/2022,5070
29/08/2022,5121
28/08/2022,5125
27/08/2022,5125
26/08/2022,5128
25/08/2022,5168
24/08/2022,5148
23/08/2022,5146
22/08/2022,5121
21/08/2022,5151
20/08/2022,5151
19/08/2022,5150
18/08/2022,5168
17/08/2022,5169
16/08/2022,5189
15/08/2022,5261
14/08/2022,5261
13/08/2022,5261
12/8/2022,5242
11/8/2022,5238
10/8/2022,5234
9/8/2022,5249
8/8/2022,5200
7/8/2022,5188
6/8/2022,5220
5/8/2022,5220
4/8/2022,5156
3/8/2022,5145
2/8/2022,5125
1/8/2022,5126
30/09/2022,5040
29/09/2022,4990
28/09/2022,4903
27/09/2022,4932
26/09/2022,4949
25/09/2022,4938
24/09/2022,4938
23/09/2022,4941
22/09/2022,5001
21/09/2022,4942
20/09/2022,4919
19/09/2022,4920
18/09/2022,4935
17/09/2022,4935
16/09/2022,4934
15/09/2022,4981
14/09/2022,5008
13/09/2022,5014
12/9/2022,5075
11/9/2022,5053
10/9/2022,5053
9/9/2022,5043
8/9/2022,5030
7/9/2022,5045
6/9/2022,5035
5/9/2022,5047
4/9/2022,5037
3/9/2022,5037
2/9/2022,5048
1/9/2022,4990
31/10/2022,5045
30/10/2022,5024
29/10/2022,5024
28/10/2022,5029
27/10/2022,5072
26/10/2022,5071
25/10/2022,5064
24/10/2022,5053
23/10/2022,5063
22/10/2022,5063
21/10/2022,5031
20/10/2022,5029
19/10/2022,5036
18/10/2022,5049
